text,sentiment
"I`ve done nothing today apart from moan,whinge,moan",negative
" I saw slater on some MTV show, So you think you wanna dance with slater or some **** like that. Where`s Kelly Kapowski",negative
In denial about the moving van parked a few blocks away.,negative
 so sorry about that  I have the same issues...LOL. My weekend started about an hour ago!!!,negative
 OMG I`m sorry to hear that! I will keep my fingers crossed that you find something,negative
He is so silly.  http://twitpic.com/4jk6b,negative
I would rather end up heart broken then have regret because i didnt take a chance,negative
SO MUCH WORK !,negative
 that is sickening... Just shoot at will? Smh... Prayers for his family...,negative
"is in skwl now, and i dont really wanna study.. i saw him --> J***I and makes me feel down..",negative
" still no class loaders, or even custom assembly loaders",negative
" I`ve had that 'problem' too, being charmed fast, I mean. I`ll cross my fingers for you",negative
 nah. How it sucks to wear a suit and how the temp goes up 10 degrees when someone sits next to you,negative
Cant sleeeeep & i miss my long hairrr,negative
I wish the sun would shine. but it won`t,negative
"Wow one year today Luc Bourdon was killed, doesn`t seem that long ago",negative
"Sigh. My metal friends keep planning stuff on Sunday afternoons, when I`m at work. Feeling like I`m losing touch with them",negative
Is it sad that I`m a little sad it was the last day of school?  I am so ready to be done with it...but saying goodbye is hard.,negative
My voice hurts. No We We Rock You the musical singing tonight..,negative
" No, it`s annoying and makes us girls that follow sports and are knowledgable look dumb",negative
 I have a FACEBOOK but I use MYSPACE and TWITTER the most. I hardly check my Facebook..,negative
Looking for accessories for my #livescribe smartpen.. not many sources here in germany for it.,negative
 sorry but I`m not impressed in the slightest b/c u don`t eat ****..more like saddened and confused,negative
"_Kill_Boy oh sorry! not getting all my replies  nothing against you. and yes, i do know nirvana",negative
Jamies Free Views Dead,negative
The balmain knockoffs in bebe make me sad.....I want the real deal...these shoes look cheapy cheapy.,negative
"I had a horrible dream  it had to do with a scary face, now im awake for the rest of the night. God dammit :\",negative
 Rude.,negative
Oh dear. Sunburned back,negative
I think at this rate.. Ill be in class until 4... Sigh.,negative
Drew`s new songs make me cry.  I miss Thomas already!,negative
 What? I was being serious.,negative
 i thought it was just me that was like really hot. My room is too hot to sleep in,negative
  BUT THEY ARE EXPENSIVE.,negative
 is tweeting so much that she`s not even paying attention to me!,negative
 Im goodie. I feel like we are so disconnected,negative
"left school just now. my new dress broke, the strap ripped off",negative
"outta the shower, too bad justin couldn`t spend the night.  haha",negative
ugh!!! i hate my life! no one is hiring! *sigh* stupid economy.... stupid bush,negative
 NOOOOOOO!!!!!!!!!!!!! why in july? im gonna be back home  NOOOOOOOOOOO!!!!!!!!!,negative
 mmmm lauren conrad eeeeep im going to miss the hills,negative
I hate that I am so stinkin tired everyday!  It`s so hard to get up...I thought I was supposed to start getting energy back now.,negative
 You can`t make it down to NYC at all when I`m there huh?,negative
" Awwwww, i`m sorry",negative
"_007 Don`t worry, they`ll get bored of it! Just hang in there and don`t give in!",negative
with thee ladies getting retarded,negative
This is not a happy tweet,negative
"seriously my parents are non stop  minniapolis, newport for a week, and now this weekend in San Diego  i miss them ",negative
Kill me now I`m so sick    n it`s Friday night!!,negative
"always tired, always cold and always have a headache.  cant wait for vacashun..and the frickin g1 update..i want onscreen keyboard dammit!",negative
ERRG I cant believe that i am not working at all next week i think its time to move on from Chick fil A,negative
- God i`m up early. Hayley still asleep but today is party day so i`m getting stuff ready.  x,negative
 i did a couple hours ago...ive got sun burn and its really uncomfortable,negative
() Gonna watch JT on SNL tonight - not a fan of his music but think he`s hilarious! `**** in my Pants` - WAY too funny,negative
It`s tough being a thick chik,negative
_Forward Poor dead Josh.  http://bit.ly/JKpHn Please leave your messages of condolences there. #boy #rip ||| That`s sad.,negative
Woke up late & trying to get **** done before work,negative
bored...disgusting weather..bored..sooo bored for my last weekend here,negative
My assistant had me watch The Notebook. I miss Deborah,negative
" Yeah it`s the Ford Focus Titanium, you only get the helicopter add on with the top-end luxury models unfortunately",negative
Ewww just printed my new I.d badge thingie 4 work n eww my picture. I took so many n they were all ugly,negative
 i knowwww.. i cant deal. this 9-5 life is not for me,negative
ahh yes the obligations of a vampire kept me away from twitter.but now i`m back & will try 2 update as much as possible.i lost a donor,negative
today is going to be AH. Giving notice to my boss today. She is going to be upset  I`m totally stressed.,negative
it`s sunny but i`m bored  sad call or text me,negative
 it`s a dreary monday morning and I slept like ****...give me a break...,negative
 won`t need my hugs anymore,negative
Molly keeps punching me cuz she sees yellow cars. I`m gonna be covered in bruises. I don`t like this game,negative
2 hours after teleconference. but can`t go back to sleep. got some work to do. sigh sigh,negative
"i miss him  ALOT but im not gonna talk to him, i HOPE",negative
My head`s THUMPING.,negative
I didn`t get my q`doba today! sad,negative
 LMAO!I was JUST thinking how I **** hate @ least 3 people that I`m following...but I haven`t unfollowed em` yet. I`m a loon.,negative
"is back from the park and is very sunburnt  cant wait 4  2night,and is gonna get smashed..bein sober jst wnt b as fun!",negative
"When youre kawawa, you make me kawawa cuz i hate seeing you so kawawa`s  ohhhhh <3",negative
Today was sooo boring in school. I was sleeping all the time,negative
 im feel verey tired  madry chasawy 9j !!!!!!!!!,negative
**** im so bummed out right now....nobody loves me,negative
sore from ultimate... trying to figure out how to pay for school next semester...,negative
also just hanging right now?? just bored hahaha didn`t have to work again today this is different....  no hours no money lol whatev,negative
Omg i`m so sad. I jus took in that gossip girl is done,negative
Getting very frustrated by people who don`t know what they want... can`t wait to go home tonight...,negative
hut myself in the face with a hammer earlier by accident  obviously it hurts.,negative
" i`m relying on my mobile, which lacks reception. Trying to help, but just looking silly",negative
madd bored,negative
My work buddy left early today so now im all lonely.  keep lookin at the time and its barely only a min later than last time,negative
just went to the dentist my mouth hurts and I can`t eat until 8,negative
"Living down @ Alki without off-street parking BLOWS. 3:30p & there is no parking. Wkds are the worst, feel like a hostage.",negative
 i havent been out west since 07...i think i picked a bad wknd b/c its overcast out here tho,negative
**** the day flies when u got 3647 things to do and only 8 hours to do it in!!,negative
my eyes hurts..,negative
 my kid is sick too tho..i can`t do it by myself.  i can`t go there by myself like a crazy stalker,negative
Here`s a brief preview: http://bit.ly/eHCfP   OMG James is creepy in that role! I`m scared of him,negative
always makes bad decisions,negative
Looks like it`s going to be a upset for Venus,negative
this week has been awful.,negative
I feel like I need to catch up on twitter haven`t done much of it this weekend!,negative
mom just woke me u[p and i am so mad i was dreaming about  shoes  she whants me to go to the river it is so stupid,negative
Gonna have to have arthroscopy to repair my knee,negative
" Yeah, it`s work. It`s been busy all day and I`m tired and hungry.",negative
OMG The LG KC910 touchscreen fone is such a pile of shite!! Roll on new contract in 18 months,negative
" factory ng Elmer`s? hihihi. sorry, corny! baka si ate ruby, alam!",negative
 It`s time to be all u can be like the reserves....I lost one.,negative
Boo Im lonely and bored,negative
 that sucks!  how old are you actually?,negative
"ssshhh everybody, I think  is asleep... don`t disturb him.",negative
Bummer. MacBook is bugging out  Any Mac heads want to lend a helping hand.,negative
I`m not a fan of all day trainings I Novi. I`m one sleepy girl.,negative
I JUS FOUND MY I.D. FINALLY ; IT WAS IN THE LINT THINGY IN THE DRYER LOL ITS ALL BENT OUTTA SHAPE NOW  IM MAD,negative
" Ah, sorry to hear your trip was canceled",negative
"Yep, . Sleep-fail. In another 7-8 hours, it`ll be D&D-fail.",negative
so instead of laying out in this 90 degrees i`ve gotta give 32 fourth graders miso/rice/sushi/mochi in an hour  fml,negative
"Will this rain ever go away, my puppy is getting cabin fever and she doesn`t like going out in the rain",negative
" *hugs* me not sad really, me just messing",negative
 Same  also trying to get my house ready to sell... I can`t believe how much **** I own !,negative
"THIS TWITTER **** BORES ME, NOW I C Y I HAVEN`T BEEN ON HERE IN A MONTH",negative
 I scare you? No!,negative
"June is going to be a long, lonely month.",negative
Dreaming about cuddling your lady and waking up alone isn`t fun,negative
I fought Jered to the death to avoid a wet willy.. but he got me anyway.  Q is coming over.. bike ride?,negative
in science class right now... urgh... stupid project.. don`t wanna go to track after school! too tired!  lol,negative
I`m in French and we don`t have a teacher.  One hour left til school ends.,negative
 Right here! Army Wife in Germany! I can`t STAND that I cannot be there this summer!,negative
I wish I could get my nails done  stupid job,negative
"_baffoon ooh if youre on the computer making your playlist come online pls, im bored now that ive blocked everyone again",negative
" I saw you stalkerishly from the elevator, but Brookie was eating her moracca (?) So we had to go.",negative
  you may have to email the tech support ppl. that`s odd.,negative
people in my house do not know how to close doors,negative
" ...i`m sorry about you are still sick  u know most of them, AND i know that u will guess the 'pelzer present' ;-)",negative
I don`t feel so good after eating all that food  ugh.,negative
I feel like crying! One of my diamond earrings fell out my ear bc it was loose and I can`t find it. I`ve had them forever,negative
My TI89 died. I don`t know why.,negative
"() OMG SHUT UP!!! (sorry. still venting at that person who`s annoying me. It`s none of you, I swear  )",negative
-was just told by Dan to NOT say anything anymore...  -now im super sad =(,negative
"Ugh,what a boring day",negative
" If you`ve jailbroken or went to 3.0 early, prepare to be bricked",negative
 seems to have disappeared out of my life,negative
missed iron chef,negative
dev.java.net : the slowest website,negative
"Went to get dog from vets, theyve stitched her ear, charged us for it but she still bleeds like a waterfall everytime she moves. D: WHY!",negative
I want to hang out and play!  But I can`t.  Fiddle Faddle on my workload!,negative
JUST GOT TO LA  MISS HAWAII ALREADY! DANG,negative
 I wish I could afford to attend those benefits.,negative
feeling like I`m gonna fall asleep any time now but I can`t.,negative
"_**** awww, that sucks",negative
miss your smile,negative
Awe i feel so left out,negative
I don`t want to work tomorrow. I don`t feel good. Haven`t felt good in 4 days =/ My body needs rest but my mind won`t slow down!,negative
Going to be a strange weekend. Probably srtarting off with working til midnight tonight,negative
is wondering y Mother Nature is making my life miserable,negative
"laughed so much today over that picture of lauren, that my chest hurts.",negative
Last day for seniors bye bff,negative
blast from the ****`ing past. NTS why must you suck so badly at school?,negative
thanks gourmetcook! But cold shower wouldn`t help.,negative
and because I wasn`t having a bad enough time last night my body decided it wanted to be sick,negative
@ work do not feel like bein in dis **** today,negative
I`m hurtling headlong into a day of spanish and art. but my view is: after tomorrow it`s just REVISION and extra frees,negative
 haha  I need to get in better shape first.. I have cageball on thursdays == me dead on sofa the whole evening,negative
" Not true, you can get worse burns today... don`t forget sunscreen",negative
And now the crazy is all gone.,negative
I already miss my Mohawk.,negative
Whoops - I got sunburnt,negative
shouts out to  and ,negative
hate this **** cold. i can`t stop sneezing. and claratyne only works for an hr or 2,negative
 I`m trying to sleep!!! It`s not working,negative
 my plans might have just gone out the window too  bit gutted.,negative
 haha okay you were talking about middle college grad I think and I got worried,negative
"I wonder if she knows how shallow, airy & dumb her tweets make her sound. I guess not b/c if she did...she`d probably stop",negative
" Oh man, Did Yogg today. Worse than last week.",negative
"I missed you yesterday, Lacey.    We get to go to granulation tonight, though.",negative
My flip flop just broke...walking in downtown seattle,negative
"Spyed Princess Anne today, and listented to all my friends cooking up the perfect evening, Working sucks for me and OB ?",negative
 Gourmet pizza = BLEH. Pizza is SUPPOSED to be greasy and filthy. You can`t eat pizza that`s been prepared by a chef.,negative
Looks like the #GM Bankruptcy is going to happen. This loss will help offset the gains that I had earlier in the year tax wise. Oh well,negative
"its friday!  well, technically anyway...but its really thursday for me.  dang having to work saturday mornings",negative
 _lord Can`t we just all get along?,negative
 that sucks mama,negative
 I think I`ve been killed judging bt my energy after attacking just to see what happened  #spymaster,negative
I miss vlogcandy,negative
 piyaaa! hi. :] im hyper & im bored & im online & im going to find pictures for the noteboook.  still cant send messages. grr.,negative
" Yeah, tried it. No go.",negative
Cried Like A Fukn Baby Today Durin Da Senior Show...Ima Miss All My Senior Friends,negative
Just ate way to many chocolate animal crackers,negative
Not feeling very well.,negative
@_hayles are u serious???? you touched his ****? ohmygod u ****!!! lol aaaaawwwwwww y did u tell me that!!!,negative
 well what about tomorrow? I miss you,negative
I miss my friends so much,negative
home from work today.....son is sick,negative
_Thompson u may need this pill...i think u are crazy...here take on of mine,negative
" Yeah I just accepted UBC`s offer last night, but I dunno if I`ll still make it in because I`ve been slacking off a lot lately.",negative
"Fell down the stairs at dancing, sword fell on me and now my bum hurts",negative
sickkkkk.  GET ME OUT OF THIS HOUSE! need to get active. whats going down? Celina havin a party? hit me uhpp!,negative
() Note to self: never ever leave the MacBook Pro on the stupid iCurve. It fell off.,negative
 i wish i could but it would cost too much to call you all the way from the UK,negative
 I`m So Mad I Wont Be There!!!!!!!!! UGHHH!!!,negative
I have a stomach ache... Totally sucks,negative
i wanna leave work already! Not feelin it 2day,negative
My husband thinks my Twittering makes me a creeper... whatever.,negative
Internet is painfully slow today,negative
"Head is pounding.  Well not really pounding, more like tapping I suppose.  Homework time.",negative
Burning time at wacha,negative
" hahah yeah, i had the same problem. Tomorrow there is a bday dinner for Terry at 7:30 so i don`t think we`ll see the fight",negative
"I told andrew that JT is going to cameo @ MTV movie awards. He said, 'he`s pissing me off.' guess they`re in a fight",negative
getting dinner ready not much going on in my life it seems,negative
 you`re just unhappy to return to occupying the same city as me  I am cry now too.,negative
I can`t upload a picture. Everything`s too big,negative
"i am boooooooored, theres nowhere to go",negative
" i didn`t hit the right button or what. i wrote on the sheat tho, that i thought it was the cafe currency button. im sorry",negative
Re-pinging : why didn`t you go to prom? BC my bf didn`t like my friends,negative
" Homework bound for the whole weekend, not so fun",negative
"epic writing fail, ew. going to try and sleep",negative
"Beta 5 of 3.0 expired today, back on 2.2.1 until the public release. I miss it already",negative
"Just about to eat, home made indian food is boak  x",negative
 that breaks my heart,negative
What I`m gonna do  life is not good:`( no more Exit in this hallway I`m stuck in my world...,negative
working on diffusing that irritation but this traffic sure isn`t helping  mother F! it`s always real bad the days th@ i help plan stuff,negative
2 hours 3 mins left.....THE PRESSURE!!!! We need to hurry  #48hours,negative
" I know! I can`t go either...it`s sad  She needs to come back to MI asap, haha",negative
"Took calculus exam today, I think that I did well. I messed up one derivative identity though  Well, I never miss that one again.",negative
"Ok, i`ve eaten some food and now bored to death in my room. Seriously, there is nothing to do. Guitar been taken to the venue!",negative
Its so **** hot! **** no air conditioning.,negative
 my keys were cracking and ****. I kind of miss my old phone already.,negative
When it rains it pours. Life sucks,negative
going through security already miss my baby.,negative
Dreambears were **** compared to their wicked audition,negative
 my film didn`t come out  the camera was broken. lamesauce.,negative
"OMG. Missed bus, walking miles, for a coffee  Went to see my ex-classmates",negative
Bus stuck in traffic; gonna be late,negative
 lady gaga tweeted about not being impressed by her video leaking just so you know,negative
Hey #socialmediatv ugh no way to do video>blah {pouts}   (Social Media TV live > http://ustre.am/2NjV),negative
Ugh. Too much happened today. I really need a hug,negative
 my knee is hurting so bad im limping...so we get to suffer through work together,negative
"You know when your make late night calls to India team members for more pictures, your struggling with your message.  Thanks .",negative
 That just means you were not trying hard enought,negative
can`t upload a picture. I already hate twitter,negative
i can`t sleep.  amp.,negative
i just bit my tongue.  blood everywhere!!!,negative
What a dreary day in LA. Where did all our sunshine go?,negative
i`m so hungry,negative
"So disapointed,good Evans,  they sound really bad, so out of tune  #britainsgottalent",negative
Eh they shut the freeway down! omw to a job interview so i guess i`m gonna be late,negative
 britains got talent is rather disappointing this year,negative
@_handz_ well you know those 'kind of guys' are just idiots,negative
 I feel your pain. Mine is the same way,negative
so i have like no more friends it`s kinda sad,negative
watching my ard earn money dissapear.,negative
"Been sick all week and still not feeling so well, can`t go to Lena`s cook-out  Gunna spend some time with the fam!",negative
Well just left six flags. Didn`t get to ride what i wanted to. Bummer.   maybe next time.,negative
soooo sunburnt  my mum was out earlier so i had to wait for her to get in and fell asleep on the trampoline for 2 hours in the sun (U),negative
I have too much homework to do today,negative
Uh-Oooh my throat is scratchy,negative
Horrid dream. I suspect I will have to cancel my plans tonight...,negative
Anyway. Can`t take this **** no longer. Or my mind will blow off.,negative
DAM i wish cElEbs cOuld frikken fOLLow baaaaaaaaaaackkkkkkkk,negative
 i want to experience snow  we don`t have snow here and it sucks,negative
 I tried to DM you but your not following me,negative
 nooo it was a real mushroom! but our neighbor uprooted it,negative
Is tired! And is gonna go to bed now!,negative
"its at 3 am, im very tired but i can`t sleep",negative
has now found a bug in the RHEL5 bnx2 driver   Cant handle high packets per second (> 50k),negative
 I can understand the fear. I feel that way about many things. You really need motivation to overcome it. Mine was guilt,negative
UP is the saddest movie i`ve ever seen,negative
Never has a chance of sleeping before midnight  my mind is so tired......,negative
"Back on track with the transcription process. Still can`t stop my lappy overheating, though",negative
My throat is killing me,negative
With E3 coming up the worst possible thing happened. No not swine flu! not AIDS! RROD!!!!!!!!!!!!!!,negative
to save my heart I think Imma let go! I can see myself getting hurt with you!,negative
 ask  to create a fake competetion and declare you the winner and then gift you a return ticket courtesy the producers.,negative
"feeling lonely,DH on night shift all w/e",negative
My arms hurt,negative
 I kno I kknow ... sigh... been on. but it sux,negative
my knees are sore after physio,negative
Stupid MSN It wont let me onnnn,negative
" is making cupcakes and says i can`t have any  kelli, you`re a bad sister.",negative
My mind automatically wakes up at 7. Huge fail -- it`s SUMMER!  Good morning nonetheless. Gonna get ready for work now.,negative
"im really bored, anthony is doing senior board ****. and im hungry and cold.",negative
uqh soo boredd supposedd to be asleep cuzz i have too wakke upp earlyy but i juss cantt sleepp.! omq tomorroww iss mother`s dayy,negative
Sorry I`m not using tweetdeck it`s not letting me tweet today,negative
don`t you hate it when you finish all your work and there`s still 1.25 hours left of work time,negative
" awww, im so sorry hun  im sure she didn`t do it on purpose though, she seems so sweet! Maybe it was a 24 hour thing? :s",negative
 dude i am so sorry!!!!! I never got that number for you my fail  i just remembered,negative
  get back to tokyo man..we miss you.,negative
just said goodbye to the younger bro.  #misshimalready,negative
My new landlord just called.. I cant move in until tomorrow morning  Way to rain on my parade..,negative
 I`m just sick of stupid guys but for a moment u make me believe not all of them suck then I get back to reality,negative
 I think I might get some of that today.  My throat is killing me! It feels like it`s in my lungs,negative
Nobody does it better than www.traveljunky.com Not even half as good   ? http://blip.fm/~5jv7j,negative
I hate waiting in lines,negative
It wasn`t a good day ..,negative
 This was at Pitman`s down South. It just looks like business is bad all over,negative
" we have two small dogs, good to hear that Center Parcs wd take them. Cruising to New York on the Queen Mary 2, real treat",negative
__  im so sick  I fell over last night outside coz I was putting something in the bin,negative
lif`s unfair....luk wat it did to ma frend...i m so hating it,negative
" I know, that is so sad.  I",negative
im tweeting... this is so hard... i dont get it...,negative
 Sorry to hear that Carol.,negative
Life sucks if ur not having fun.,negative
 a wet and dirty one now,negative
I have to reupload the **** thing again,negative
this day has beasted me.,negative
gahh!! i`m so tired right now.,negative
Rachel and chelsey left me and jenny stole my bike.  that makes me muy triste!,negative
"  i`m sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!",negative
wondering if my local Borders is going to make it. Lots of bare shelves... It makes me sad,negative
@__SANDY i dont know! they sent out emails using my account about random stuff i didnt even understand i changed all my passwords,negative
 oh dear.. u serious? so how does one prevent bites??  I`m so itchy its distracting while editing.. *sigh*,negative
Okay I`m seriously bored. I have nothing to do. I can`t go out cause it`s raining.,negative
Bout to get ready for work ugh i hate workin on fridays,negative
ONLY 1 thing sucks about holidays: worrying about pets. Cats will be tgthr @ 'cat resort' but Jonesy won`t have much company @ dad-in-law,negative
DotA is an addiction...i waste 6-7 hours playing dota,negative
i feel like I`m on house arrest.,negative
 resistance was futile! Needed pretties to knit with,negative
how do i get my cat 2stop killin rabbits? another headless (baby) rabbit n garden dis morn  live close 2field wher lots rabbits live,negative
_KittyKat  so now im bored..untill i go out,negative
Poltergeist! In my house,negative
borred what everyone doingn check out links on my profile,negative
" Have a 3ware 9650SE, not fast enough for 3x X25-M SSD RAID5. 800Mhz IOP on the HPT. Might try an Adaptec 5405 (1.2Ghz).",negative
"Yay, my train is late... It starts here but it`s 15 mins late arriving from London in the first place",negative
 don`t get impatient! for what? you have already sinned: strawberries with milk and sugar,negative
never does  anything good school and rabbit it my life cycle dunno how to tune a giutar so i am stuffed,negative
I feel really bad for female racoons with abusive racoon husbands... when you always have black eyes- no one can help,negative
"I hate life at the mo, it sucks",negative
driving past Tattered Cover w/o stopping  promising myself to make time next week.,negative
 i wish i could call but i live in the uk and i don`t have the cash to call,negative
 won`t anyone give poor ernie reyes jr a break?,negative
 genevaaa! my picture isnt showing up  i dont think im doing it right,negative
bored fixed the internet for my dad but now im bored to death,negative
 SO jealous...see if you can get some Dallas concert tix out of her...it`s all sold out!!,negative
"trying to upload a custom background on here, but it`s not working",negative
"Joining facebeek.  What a loser, I have no friends   Amy where are you?",negative
  Meee tooooooo..... And its bad.. when I`m bored... I eat.. lol,negative
it`s realy boo0o0o0o00oring ..my book is on the side & i`m not studyin for sure...,negative
Watchin Grease 2 and waiting for 9 to hurry up and come so I can talk to my girl. Ugh..... it seems so far away...,negative
mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,negative
"sorry paul scheuring, but prison break series finale sucked... in so many levels",negative
Ugh! I can`t access through my mobile web!,negative
break from packing. watching the office  Pam: 'I had just woken up. I didn`t look cute. That`s how I knew he meant it.',negative
VERY upset....  Mom is in the hospital,negative
_X sorry about that.,negative
 rat run steve irwin way to avoid long delays on bruce highway,negative
just wants to get it over and done with. I miss working,negative
 Are you guys gonna get the metal detector from the Brickmans? I saw Chad ask Davey on FB. Sorry `bout your ring,negative
 OMG that`s right HAHAHA I`m Stupid,negative
"The Aila Cyclone left my house in Calcutta with a broken sunshade, balcony and a huge branch of tree thru our bathroom window.....",negative
 Bad times for everyone  Whywhywhy do we have to write essays  No fair!,negative
 Just read that message about u being at Stephanie`s in Greensboro.....love it! I miss my home!,negative
Justin is SO warm! It makes me worry when they have a high fever and I go to sleep.,negative
always excited for a new chapter in my life. just didnt expect it to be so emotional.,negative
ugh ****! my usual babysitters graduation is on Wednesday and I just got a meeting request from my boss during her graduation,negative
" Iowa is like that sometimes, it gets frustrating.",negative
" Trickery?  No, just exasperation at seeing **** Pride hijacked by a politics bigger and uglier then anything it`s meant for",negative
has such a freakin migraine,negative
says I miss plurking.  http://plurk.com/p/wxion,negative
careless,negative
 Psych has to be better than neuro!  Or at least in a better part of town?  I miss you,negative
Mean people suck.,negative
no clue wtf im doing,negative
" hmmm, I thought u were sleeping!! Too bad I can`t see those videos until tomorrow night.",negative
Still in same queue barely 1 metre from where i last twittered. This is insane. And i paid for this,negative
